Lender,Emailed,PW,Type,Ratesheet Link
Acra Non Prime,N,none,NonQM,https://acralending.com/wp-content/uploads/2020/RateSheets/Wholesale/acra-ws-ratematrix-1stTDs.pdf?dynamic_param=35
Acra DSCR,N,none,NonQM,https://acralending.com/wp-content/uploads/2020/RateSheets/Wholesale/acra-ws-ratematrix-dscr.pdf?dynamic_param=35
Acra NOO DSCR,N,none,NonQM,https://acralending.com/wp-content/uploads/2020/RateSheets/Wholesale/acra-ws-ratematrix-nonocp.pdf?dynamic_param=35
Acra DSCR Platimum,N,none,NonQM,
Acra Non Prime Platimum,N,none,NonQM,https://acralending.com/wp-content/uploads/2020/RateSheets/Wholesale/acra-ws-ratematrix-platinum-np.pdf?dynamic_param=35
Acra NOO DSCR Platimum,N,none,NonQM,https://acralending.com/wp-content/uploads/2020/RateSheets/Wholesale/acra-ws-ratematrix-platinum-dscr.pdf?dynamic_param=35
Bluepoint Mortgage,Y,none,Conv/NonQM,https://bluepointmtg.com/wp-content/docs/BluePoint.pdf
Pacbay Lending,Y,none,Conv/NonQM,https://yksy55mab.cc.rs6.net/tn.jsp?f=001j8BVoQulnmuwTG51OJ0FBgCYetmJebqMHUPg5t0sbHaYRfJmXQVMaua1WfHx5wZuMRPCeog7bZPfJcxupMqhUNlG4SHY24njexZnJsA5cQvAptrdhM60ENk_hjlRwNOenQEZwSjV3PfcKkjlr_50pGeZxmGxGvl0Lu97LpB2I3RgOvKONXvhc4_Q3aJKiEImeSHGSsPIL_oswzTSeHdKH6-SqmWlilai&c=rPG4SHNKlI-e6Rrs0NV8LY_DVPymvuuTO-zAGT2sb57el47PO_SReQ==&ch=-_9QhlG2lQDJ65Gv3LB5ytAMyqJqIw1NUvIJBFTz0vYHdgrr1WOq7Q==
WB Bankers,Y,best,NonQM,https://www.wholesalebankers.com/ratesheets
Stabilis,Y,none,Commercial,emailed
Fundloans,Y,none,Conv/NonQM,https://www.fundloans.com/daily-rate-sheets
Amwest,Y,,Conv/NonQM,https://9uoutlxab.cc.rs6.net/tn.jsp?f=001IteaRNBCMyPSKAFoy1iZoeZ5JjswSwekb41wBQWnYzrx2CejH7I5H6_P5N4ughZRW6_gegolKE6LjxsLnDko37YdAgmnyMrw85EalQCNtT_H5LPuo40tEjWbXihU1Yoyi45_oB-eELLBuiQ4rfrrNoawZUROVmjPgRIq2PQw3a9-ruyduL6Z524cd5K_xOkU0AfFjkFBHyUlpytst0YtIzfzILAzze_LpXjRyAqKjekVn9X2iYKl32iNXsB8wMPc&c=gsAdqRHVl6CBSz2OOUtffOSLcymFbQX3CNziHdWmknxjVVKxO0X1dw==&ch=eQu4j-w2xL-UfHUnQgKIZFNQEx-kqbveQY24UxzoDMSqwSgGYkbMqw==
Rocket mortgage,N,TPO Login,Conv/NonQM,https://ui-shell.apps.rocketprotpo.com/pricing/470075/rate-sheets-list?channel=wholesale
MKLending,Y,TBD,Conv/NonQM,https://mklending.com/login
