content_type,post_id,title,slug,old_url,new_url
program,7441,Super Jumbo Residential Mortgage Loans,super-jumbo-residential-mortgage-loans,http://localhost:8090/loan-programs/super-jumbo-residential-mortgage-loans/,/programs/super-jumbo-residential-mortgage-loans/
program,6980,FHA VOE Only Mortgage Loans,fha-voe-only-mortgage-loans,http://localhost:8090/loan-programs/fha-voe-only-mortgage-loans/,/programs/fha-voe-only-mortgage-loans/
funded-loan,8473,"Hard Money JR LIEN in San Fernando CA, 91340",hard-money-junior-lien-loan-2,http://localhost:8090/funded-loan/hard-money-junior-lien-loan-2/,/funded-loans/hard-money-junior-lien-loan-2/
funded-loan,8469,"FHA HB 30-Year Fixed, Mortgage – Primary ResidenceSanta Clarita, CA 91321Los Angeles, CA 90011",fha-hb-30-year-fixed-mortgage,http://localhost:8090/funded-loan/fha-hb-30-year-fixed-mortgage/,/funded-loans/fha-hb-30-year-fixed-mortgage/
funded-loan,8467,"Conventional 30-Year Fixed Cash-Out Refinance for Investment Property,Los Angeles, CA 90011",conventional-cash-out-refinance-investment-2,http://localhost:8090/funded-loan/conventional-cash-out-refinance-investment-2/,/funded-loans/conventional-cash-out-refinance-investment-2/
funded-loan,8466,"Non QM No Ratio NOO Cash Out Refinance in Highland, CA 92346",nonqm-no-ratio-noo-loan,http://localhost:8090/funded-loan/nonqm-no-ratio-noo-loan/,/funded-loans/nonqm-no-ratio-noo-loan/
funded-loan,8463,"Hard Money Junior Lien Loan, No Cash Out Refinance in Chino, CA 91710",hard-money-junior-lien-loan,http://localhost:8090/funded-loan/hard-money-junior-lien-loan/,/funded-loans/hard-money-junior-lien-loan/
funded-loan,8452," Non QM Profit and Loss Fixed OO In Yuma AZ, 85364",non-qm-pnl-io-fixed-oo,http://localhost:8090/funded-loan/non-qm-pnl-io-fixed-oo/,/funded-loans/non-qm-pnl-io-fixed-oo/
funded-loan,8450,"Non QM No Ratio Cash Out Refinanc, NOO in Landers, CA 92285",non-qm-no-ratio-noo,http://localhost:8090/funded-loan/non-qm-no-ratio-noo/,/funded-loans/non-qm-no-ratio-noo/
funded-loan,8436,"Non-QM Profit and Loss, No Cash-Out Refinance – Fixed Rate, Owner Occupied, in Ontario, CA 91761",hard-money-cash-out-docmagic-2,http://localhost:8090/funded-loan/hard-money-cash-out-docmagic-2/,/funded-loans/hard-money-cash-out-docmagic-2/
